,x,y
0,-10.0,-311.7973827016168
1,-9.97997997997998,-377.3951441838346
2,-9.95995995995996,-345.88030836060517
3,-9.93993993993994,-280.19792485887206
4,-9.91991991991992,-296.30121278171157
5,-9.8998998998999,-435.9906598983632
6,-9.87987987987988,-337.08110071651964
7,-9.85985985985986,-389.62321569671985
8,-9.83983983983984,-384.697185489184
9,-9.81981981981982,-356.49823527674937
10,-9.7997997997998,-367.3289050741328
11,-9.77977977977978,-299.3313132547391
12,-9.75975975975976,-331.5179649563075
13,-9.73973973973974,-361.0218965676991
14,-9.71971971971972,-342.45919142952226
15,-9.6996996996997,-345.5262277961587
16,-9.67967967967968,-285.0744429565515
17,-9.65965965965966,-367.61559953161867
18,-9.63963963963964,-339.29440419687313
19,-9.61961961961962,-395.2534683156425
20,-9.5995995995996,-477.80982927630265
21,-9.57957957957958,-315.1018068373831
22,-9.55955955955956,-302.1940417098441
23,-9.53953953953954,-380.1679105630313
24,-9.51951951951952,-227.2264050075459
25,-9.4994994994995,-411.09754130326473
26,-9.47947947947948,-333.7670737046933
27,-9.45945945945946,-343.10053062539095
28,-9.43943943943944,-254.79928844626045
29,-9.41941941941942,-255.67777012285927
30,-9.3993993993994,-319.1163211281797
31,-9.37937937937938,-305.6840504973866
32,-9.35935935935936,-366.720424120644
33,-9.33933933933934,-419.1203725370069
34,-9.31931931931932,-335.2359970316754
35,-9.2992992992993,-307.7931855304667
36,-9.27927927927928,-251.87672427817395
37,-9.25925925925926,-251.06324604068595
38,-9.23923923923924,-328.3498912799586
39,-9.21921921921922,-321.910307560146
40,-9.1991991991992,-357.04472152657155
41,-9.17917917917918,-373.4501329218786
42,-9.15915915915916,-385.60514385962443
43,-9.13913913913914,-200.605474235815
44,-9.11911911911912,-321.48965008546037
45,-9.0990990990991,-315.7837163382085
46,-9.07907907907908,-354.4028687070711
47,-9.05905905905906,-250.78179747491458
48,-9.03903903903904,-368.25451324920857
49,-9.01901901901902,-296.1100074575316
50,-8.998998998999,-328.1697369806162
51,-8.97897897897898,-261.98471832850146
52,-8.95895895895896,-304.813529154729
53,-8.93893893893894,-336.25828121937104
54,-8.91891891891892,-276.59912977714833
55,-8.8988988988989,-251.74669371851581
56,-8.87887887887888,-267.82059347641103
57,-8.85885885885886,-254.01590145268042
58,-8.83883883883884,-298.85849308924094
